pl_name,hostname,sy_dist,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_spectype,st_teff,st_mass,disc_year
"DMPP-1 c","DMPP-1",62.53880000,3.31000000,10.94000000,10.03000000000,1239.00,"F8 V",6196.00,1.210000,2019
"75 Cet c","75 Cet",82.96130000,13.90000000,289.85950718,2051.62000000000,,"G3 III",4809.00,1.920000,2023
"TOI-1695 b","TOI-1695",45.13090000,1.90000000,6.36000000,3.13427910000,698.00,"M1 V",3690.00,0.513000,2022
"HD 207832 b","HD 207832",58.92910000,14.20000000,177.98480000,160.07000000000,,"G5 V",5726.00,1.050000,2012
"TOI-700 b","TOI-700",31.12650000,0.91400000,0.70400000,9.97721900000,417.00,"M2.5 V",3459.00,0.415000,2020
"TOI-1260 c","TOI-1260",73.59770000,2.76000000,13.20000000,7.49313400000,651.00,"K6 V",4227.00,0.679000,2021
"TOI-1260 d","TOI-1260",73.59770000,3.12000000,11.84000000,16.60816400000,499.00,"K6 V",4227.00,0.679000,2022
"GJ 3138 c","GJ 3138",28.47120000,1.88000000,4.18000000,5.97400000000,,"M0",3717.00,0.681000,2017
"TOI-2133 b","TOI-2133",75.19730000,2.37000000,6.21000000,3.82664720000,798.00,,4250.00,0.644000,2026
"LHS 1903 c","LHS 1903",35.69170000,2.04600000,4.55000000,6.22618500000,559.00,"M",3664.00,0.538000,2026
"HD 191939 b","HD 191939",53.60890000,3.41000000,10.00000000,8.88032560000,880.00,"G9 V",5348.00,0.810000,2020
"HIP 948 b","HIP 948",34.85230000,12.10000000,6547.26518420,24955.45756000000,,,4497.00,0.710000,2022
"HD 65216 b","HD 65216",35.12050000,13.60000000,411.58985000,577.60000000000,,"G5 V",5612.00,0.874000,2003
"HD 65216 c","HD 65216",35.12050000,13.40000000,645.19490000,5370.00000000000,,"G5 V",5612.00,0.874000,2013
"HIP 65407 c","HIP 65407",61.78040000,13.90000000,249.17872000,67.30000000000,,"K0",5460.00,0.930000,2016
"TOI-700 e","TOI-700",31.12650000,0.95300000,0.81800000,27.80978000000,272.90,"M2.5 V",3459.00,0.415000,2023
"HD 38283 b","HD 38283",38.06150000,14.00000000,127.13200000,363.20001000000,,"F9.5 V",5981.00,1.370000,2010
"HD 188015 b","HD 188015",50.67060000,13.60000000,476.72000000,461.20000000000,,"G5 IV",5746.00,1.090000,2004
"DMPP-1 d","DMPP-1",62.53880000,2.02000000,4.72000000,3.14170000000,1632.00,"F8 V",6196.00,1.210000,2019
"TOI-411 c","HD 22946",62.77920000,2.32800000,9.72000000,9.57308300000,931.00,"F7/F8V",6169.00,1.098000,2022
"HD 40307 c","HD 40307",12.93630000,,1868.51320475,9.61840000000,696.00,"K2.5 V",4956.00,0.770000,2009
"HD 7199 b","HD 7199",36.15310000,,3639.13526015,615.00000000000,,"K1 IV",5371.00,0.770000,2011
"K2-136 d","K2-136",59.24740000,1.56500000,3.00000000,25.57500000000,420.00,"K5.5",4500.00,0.742000,2017
"GJ 251 c","GJ 251",5.58057000,1.80000000,3.88000000,53.64700000000,216.00,"M3.0 V",3342.00,0.350000,2025
"GJ 649 b","GJ 649",10.37960000,10.80000000,81.99972901,600.10000000000,,"M1.0",3734.00,0.510000,2009
"HD 222582 b","HD 222582",42.15860000,12.60000000,2660.23710000,572.38000000000,,"G5 V",5790.00,1.120000,1999
"GJ 849 c","GJ 849",8.80058000,13.80000000,314.65012293,5990.00000000000,,"M3.5",3467.00,0.450000,2014
"HD 49674 b","HD 49674",43.03990000,6.20000000,31.78300000,4.94737000000,,"G5 V",5602.00,1.030000,2002
"HIP 70849 b","HIP 70849",24.05720000,12.90000000,1430.22783150,3649.00000000000,,"K7 V",4105.00,0.650000,2009
"TOI-2096 c","TOI-2096",48.48090000,1.91400000,4.32000000,6.38784000000,349.00,"M4",3300.00,0.231000,2023
"TOI-733 b","TOI-733",75.20920000,1.99200000,5.72000000,4.88476500000,1055.80,"G",5585.00,0.956000,2023
"HD 80883 b","HD 80883",34.60110000,12.80000000,1748.05623850,6383.78352000000,,,5177.91,0.880000,2022
"K2-141 b","K2-141",61.87360000,1.51000000,4.97000000,0.28032440000,2103.00,"K7 V",4570.00,0.708000,2018
"K2-141 c","K2-141",61.87360000,7.00000000,8.00000000,7.74850000000,695.00,"K7 V",4570.00,0.708000,2018
"HD 125595 b","HD 125595",28.19890000,,3531.07360177,9.67370000000,,"K4 V",4691.00,0.290000,2009
"HD 179079 b","HD 179079",69.71160000,,4195.33497240,14.47900000000,,"G5 IV",5646.00,1.140000,2008
"K2-136 c","K2-136",59.24740000,3.00000000,18.10000000,17.30713000000,470.00,"K5 V",4500.00,0.742000,2017
"TOI-270 c","TOI-270",22.47930000,2.33000000,6.20000000,5.66051000000,489.00,"M",3506.00,0.386000,2019
"K2-72 e","K2-72",66.43210000,1.29000000,2.21000000,24.15886800000,,,3360.47,0.271365,2016
"HD 25171 b","HD 25171",55.61460000,13.90000000,290.81445000,1802.29000000000,,"F8 V",6125.00,1.076000,2010
"TOI-913 b","TOI-913",65.17690000,2.45280000,6.59000000,11.09864400000,712.01,,4969.00,0.820000,2023
"HD 155918 c","HD 155918",27.56100000,12.80000000,1878.04805696,17202.19446000000,,"G2V",5771.84,1.030000,2022
"HD 15906 b","HD 15906",45.56210000,2.24000000,5.65000000,10.92470900000,668.00,"K V",4757.00,0.790000,2023
"TOI-5704 b","TOI-5704",89.63700000,3.22740000,10.50000000,3.77111600000,949.07,,4590.00,0.730000,2023
"HD 34445 e","HD 34445",46.09070000,4.26000000,16.80000000,49.17500000000,,"G0 V",5836.00,1.070000,2017
"GJ 680 b","GJ 680",9.67315000,12.00000000,7977.49301570,17281.66514000000,,"K5",3563.00,0.456000,2022
"Kepler-37 c","Kepler-37",63.92070000,0.75500000,1.30000000,21.30184800000,615.00,,5357.00,0.790000,2013
"Kepler-37 b","Kepler-37",63.92070000,0.30980000,0.79000000,13.36702000000,718.00,,5357.00,0.790000,2013
"TOI-715 b","TOI-715",42.40480000,1.55000000,3.02000000,19.28800400000,234.00,"M4",3075.00,0.225000,2023
"HIP 48714 b","HIP 48714",10.52980000,5.11000000,22.90000000,17.81800000000,,"M0.5 Ve",4015.50,0.580000,2020
"rho CrB b","rho CrB",17.46710000,13.70000000,347.38644885,39.84380000000,614.00,"G0 V",5817.00,0.950000,1997
"HD 4308 b","HD 4308",22.01580000,4.12000000,15.89150000,15.56000000000,,"G5V",5686.00,0.930000,2005
"GJ 1252 b","GJ 1252",20.37300000,1.19300000,1.32000000,0.51823310000,1089.00,"M3",3458.00,0.381000,2020
"HD 217786 c","HD 217786",55.48470000,2.61000000,7.31005336,2.52221000000,,"F8 V",5966.00,1.140000,2022
"TOI-244 b","TOI-244",22.03370000,1.52000000,2.68000000,7.39722500000,458.00,"M2.5 V",3433.00,0.428000,2023
"HD 64114 b","HD 64114",31.52620000,4.41000000,17.80000000,45.79100000000,,"G7 V",5676.00,0.950000,2019
"HD 191939 c","HD 191939",53.60890000,3.19500000,8.00000000,28.57974300000,600.00,"G9 V",5348.00,0.810000,2020
"TOI-1243 b","TOI-1243",43.18650000,2.33000000,7.70000000,4.65947790000,450.00,"M2.0 V",3515.00,0.515000,2026
"HD 191939 d","HD 191939",53.60890000,2.99500000,2.80000000,38.35303700000,540.00,"G9 V",5348.00,0.810000,2020
"HD 108236 c","HD 108236",64.59780000,2.07100000,4.94000000,6.20344900000,932.00,"G3 V",5660.00,0.869000,2020
"HD 151450 b","HD 151450",43.60020000,6.94000000,38.45723725,21.89288000000,,,6091.98,1.140000,2022
"TOI-139 b","TOI-139",42.40610000,2.45660000,6.60000000,11.07085000000,561.17,,4570.00,0.690000,2023
"TOI-672 b","TOI-672",66.90710000,5.26040000,24.10000000,3.63357500000,676.15,,3765.00,0.539900,2023
"HIP 5158 b","HIP 5158",51.60260000,13.60000000,451.00000000,345.72000000000,,,4962.00,0.780000,2009
"HD 136118 b","HD 136118",51.43590000,12.30000000,4164.18778851,1187.59765000000,,"F7 V",6097.00,1.180000,2022
"GJ 357 b","GJ 357",9.44181000,1.20000000,1.84000000,3.93060000000,518.00,"M2.5 V",3505.00,0.342000,2019
"TOI-2095 b","TOI-2095",41.91760000,1.25000000,4.10000000,17.66484000000,347.00,"M2.5 V",3759.00,0.440000,2023
"TOI-1470 c","TOI-1470",51.95030000,2.47000000,7.24000000,18.08816000000,373.00,"M1.5 V",3709.00,0.471000,2023
"HD 109271 c","HD 109271",55.87160000,5.27000000,24.15400000,30.93000000000,,"G5 V",5783.00,1.047000,2013
"HD 25912 b","HD 25912",49.16610000,6.90000000,38.13940884,41.83156000000,,,5920.58,1.080000,2022
"GJ 367 b","GJ 367",9.41263000,0.69900000,0.63300000,0.32192250000,1365.00,"M1.0 V",3522.00,0.455000,2021
"GJ 367 c","GJ 367",9.41263000,1.86000000,4.13000000,11.53010000000,,"M1.0 V",3522.00,0.455000,2023
"HD 210193 b","HD 210193",42.20290000,14.30000000,153.10000000,649.91800000000,,"G3 V",5790.00,1.040000,2019
"HIP 54597 b","HIP 54597",39.74290000,13.30000000,762.78817680,3274.00000000000,,"K5 V",4799.00,0.800000,2023
"TOI-1235 b","TOI-1235",39.63450000,1.69000000,6.69000000,3.44471400000,775.00,"M0.5 V",3997.00,0.630000,2020
"TOI-1680 b","TOI-1680",37.22090000,1.46600000,2.75000000,4.80263450000,404.00,"M4.5+/-0.5",3225.00,0.179800,2023
"TOI-2018 b","TOI-2018",27.99560000,2.26800000,9.20000000,7.43558300000,576.34,"K V",4174.00,0.570000,2023
"GJ 180 d","GJ 180",11.94070000,2.66000000,7.56000000,106.30000000000,,"M3",3371.00,0.430000,2020
"eps CrB b","eps CrB",69.86830000,12.70000000,2129.46100000,417.90000000000,,"K2 III",4406.00,1.700000,2012
"GJ 685 b","GJ 685",14.31550000,2.95000000,9.00000000,24.16000000000,,"M0.5",3816.00,0.550000,2019
"K2-3 c","K2-3",44.07270000,1.58200000,2.68000000,24.64672900000,371.80,"M V",3844.00,0.549000,2015
"K2-3 d","K2-3",44.07270000,1.45800000,2.20000000,44.55603000000,305.20,"M V",3844.00,0.549000,2015
"HD 11964 b","HD 11964",33.53690000,14.10000000,198.00000000,1945.00000000000,,"G9 V CN+1",5303.00,0.910000,2005
"HD 132406 b","HD 132406",70.78320000,12.80000000,1887.90073758,908.00000000000,,"G0 V",5766.00,0.973000,2007
"DMPP-3 A b","DMPP-3 A",46.89170000,1.44000000,2.67000000,5.59000000000,854.00,"K0 V",5138.00,0.900000,2019
"TOI-1801 b","TOI-1801",30.67960000,2.07900000,5.73800000,10.64387000000,493.70,"M0.5+/-0.5 V",3863.00,0.556000,2023
"LHS 475 b","LHS 475",12.48140000,0.99100000,0.94100000,2.02908800000,586.00,"M3.5 V",3300.00,0.262000,2023
"pi Men c","HD 39091",18.27020000,2.01890000,3.63000000,6.26783990000,1169.80,"G0 V",5998.00,1.070000,2018
"HIP 38594 b","HIP 38594",17.78860000,2.77000000,8.10000000,60.72200000000,,"M0",4086.30,0.610000,2020
"G 264-012 c","G 264-012",16.00900000,1.76000000,3.75000000,8.05180000000,387.00,"M4.0 V",3326.00,0.297000,2021
"HD 128311 b","HD 128311",16.32920000,13.50000000,562.24127000,453.01900000000,,"K0",4965.00,0.828000,2002
"HIP 113103 c","HIP 113103",46.21220000,2.40000000,6.35000000,14.24564800000,585.00,,4930.00,0.761000,2023
"GJ 3942 b","GJ 3942",16.92870000,2.57000000,7.14000000,6.90500000000,590.00,"M0",3867.00,0.630000,2017
"HD 110067 f","HD 110067",32.15850000,2.60100000,5.04000000,41.05854000000,489.00,"K0.0 V",5266.00,0.798000,2023
"HD 11506 b","HD 11506",51.26100000,12.90000000,1551.00262616,1617.70000000000,,"G0 V",6123.00,1.220000,2007
